Title,Standard Document Id,Technology Generation,Publication Date,Standard Setting Organization,Author,Standard Project,Version History,Original Document
Digital cellular telecommunications system (Phase 2+); Universal Mobile Telecommunications System (UMTS); LTE; Circuit Switched (CS) fallback in Evolved Packet System (EPS); Stage 2 (3GPP TS 23.272 version 9.13.0 Release 9) Circuit Switched (CS) fallback in Evolved Packet System (EPS); Stage 2,TS 23.272 v9.13.0,"4G, 3G, 2G",2013-01-14,ETSI,Maurice Pope | Sabine Demel,3GPP 3GPP-Release-9 3GPP-SA,9.13.0,https://www.etsi.org/deliver/etsi_ts/123200_123299/123272/09.13.00_60/ts_123272v091300p.pdf
Digital cellular telecommunications system (Phase 2+); Universal Mobile Telecommunications System (UMTS); LTE; Circuit Switched (CS) fallback in Evolved Packet System (EPS); Stage 2 (3GPP TS 23.272 version 9.12.0 Release 9) Circuit Switched (CS) fallback in Evolved Packet System (EPS); Stage 2,TS 23.272 v9.12.0,"4G, 3G, 2G",2012-07-03,ETSI,Maurice Pope | Sabine Demel,3GPP 3GPP-Release-9 3GPP-SA,9.12.0,https://www.etsi.org/deliver/etsi_ts/123200_123299/123272/09.12.00_60/ts_123272v091200p.pdf
Digital cellular telecommunications system (Phase 2+); Universal Mobile Telecommunications System (UMTS); LTE; Circuit Switched (CS) fallback in Evolved Packet System (EPS); Stage 2 (3GPP TS 23.272 version 9.11.0 Release 9) Circuit Switched (CS) fallback in Evolved Packet System (EPS); Stage 2,TS 23.272 v9.11.0,"4G, 3G, 2G",2012-03-20,ETSI,Maurice Pope | Sabine Demel,,9.11.0,https://www.etsi.org/deliver/etsi_ts/123200_123299/123272/09.11.00_60/ts_123272v091100p.pdf
Digital cellular telecommunications system (Phase 2+); Universal Mobile Telecommunications System (UMTS); LTE; Circuit Switched (CS) fallback in Evolved Packet System (EPS); Stage 2 (3GPP TS 23.272 version 9.10.0 Release 9) Circuit Switched (CS) fallback in Evolved Packet System (EPS); Stage 2,TS 23.272 v9.10.0,"4G, 3G, 2G",2012-01-09,ETSI,Maurice Pope | Sabine Demel,3GPP 3GPP-Release-9 3GPP-SA,9.10.0,https://www.etsi.org/deliver/etsi_ts/123200_123299/123272/09.10.00_60/ts_123272v091000p.pdf
Digital cellular telecommunications system (Phase 2+); Universal Mobile Telecommunications System (UMTS); LTE; Circuit Switched (CS) fallback in Evolved Packet System (EPS); Stage 2 (3GPP TS 23.272 version 9.9.0 Release 9) Circuit Switched (CS) fallback in Evolved Packet System (EPS); Stage 2,TS 23.272 v9.9.0,"4G, 3G, 2G",2011-10-12,ETSI,Maurice Pope | Sabine Demel,3GPP 3GPP-Release-9 3GPP-SA,9.9.0,https://www.etsi.org/deliver/etsi_ts/123200_123299/123272/09.09.00_60/ts_123272v090900p.pdf
Digital cellular telecommunications system (Phase 2+); Universal Mobile Telecommunications System (UMTS); LTE; Circuit Switched (CS) fallback in Evolved Packet System (EPS); Stage 2 (3GPP TS 23.272 version 9.8.0 Release 9) Circuit Switched (CS) fallback in Evolved Packet System (EPS); Stage 2,TS 23.272 v9.8.0,"4G, 3G, 2G",2011-06-22,ETSI,Maurice Pope | Sabine Demel,3GPP 3GPP-Release-9 3GPP-SA,9.8.0,https://www.etsi.org/deliver/etsi_ts/123200_123299/123272/09.08.00_60/ts_123272v090800p.pdf
Digital cellular telecommunications system (Phase 2+); Universal Mobile Telecommunications System (UMTS); LTE; Circuit Switched (CS) fallback in Evolved Packet System (EPS); Stage 2 (3GPP TS 23.272 version 9.7.0 Release 9) Circuit Switched (CS) fallback in Evolved Packet System (EPS); Stage 2,TS 23.272 v9.7.0,"4G, 3G, 2G",2011-03-29,ETSI,Maurice Pope | Sabine Demel,,9.7.0,https://www.etsi.org/deliver/etsi_ts/123200_123299/123272/09.07.00_60/ts_123272v090700p.pdf
Digital cellular telecommunications system (Phase 2+); Universal Mobile Telecommunications System (UMTS); LTE; Circuit Switched (CS) fallback in Evolved Packet System (EPS); Stage 2 (3GPP TS 23.272 version 9.6.0 Release 9) Circuit Switched (CS) fallback in Evolved Packet System (EPS); Stage 2,TS 23.272 v9.6.0,"4G, 3G, 2G",2011-01-11,ETSI,Maurice Pope | Sabine Demel,3GPP 3GPP-Release-9 3GPP-SA,9.6.0,https://www.etsi.org/deliver/etsi_ts/123200_123299/123272/09.06.00_60/ts_123272v090600p.pdf
Digital cellular telecommunications system (Phase 2+); Universal Mobile Telecommunications System (UMTS); LTE; Circuit Switched (CS) fallback in Evolved Packet System (EPS); Stage 2 (3GPP TS 23.272 version 9.5.0 Release 9) Circuit Switched (CS) fallback in Evolved Packet System (EPS); Stage 2,TS 23.272 v9.5.0,"4G, 3G, 2G",2010-10-11,ETSI,Maurice Pope | Sabine Demel,3GPP 3GPP-Release-9 3GPP-SA,9.5.0,https://www.etsi.org/deliver/etsi_ts/123200_123299/123272/09.05.00_60/ts_123272v090500p.pdf
Digital cellular telecommunications system (Phase 2+); Universal Mobile Telecommunications System (UMTS); LTE; Circuit Switched (CS) fallback in Evolved Packet System (EPS); Stage 2 (3GPP TS 23.272 version 9.4.0 Release 9) Circuit Switched (CS) fallback in Evolved Packet System (EPS); Stage 2,TS 23.272 v9.4.0,"4G, 3G, 2G",2010-06-22,ETSI,Maurice Pope | Sabine Demel,3GPP 3GPP-Release-9 3GPP-SA,9.4.0,https://www.etsi.org/deliver/etsi_ts/123200_123299/123272/09.04.00_60/ts_123272v090400p.pdf
Digital cellular telecommunications system (Phase 2+); Universal Mobile Telecommunications System (UMTS); LTE; Circuit Switched (CS) fallback in Evolved Packet System (EPS); Stage 2 (3GPP TS 23.272 version 9.3.0 Release 9) Circuit Switched (CS) fallback in Evolved Packet System (EPS); Stage 2,TS 23.272 v9.3.0,"4G, 3G, 2G",2010-03-30,ETSI,Maurice Pope | Sabine Demel,,9.3.0,https://www.etsi.org/deliver/etsi_ts/123200_123299/123272/09.03.00_60/ts_123272v090300p.pdf
Digital cellular telecommunications system (Phase 2+); Universal Mobile Telecommunications System (UMTS); LTE; Circuit Switched (CS) fallback in Evolved Packet System (EPS); Stage 2 (3GPP TS 23.272 version 9.2.0 Release 9) Circuit Switched (CS) fallback in Evolved Packet System (EPS); Stage 2,TS 23.272 v9.2.0,"4G, 3G, 2G",2010-01-11,ETSI,Maurice Pope | Sabine Demel,,9.2.0,https://www.etsi.org/deliver/etsi_ts/123200_123299/123272/09.02.00_60/ts_123272v090200p.pdf
Digital cellular telecommunications system (Phase 2+); Universal Mobile Telecommunications System (UMTS); LTE; Circuit Switched (CS) fallback in Evolved Packet System (EPS); Stage 2 (3GPP TS 23.272 version 8.12.0 Release 8) Circuit Switched (CS) fallback in Evolved Packet System (EPS); Stage 2,TS 23.272 v8.12.0,"4G, 3G, 2G",2012-07-03,ETSI,Maurice Pope | Sabine Demel,3GPP 3GPP-Release-8 3GPP-SA,8.12.0,https://www.etsi.org/deliver/etsi_ts/123200_123299/123272/08.12.00_60/ts_123272v081200p.pdf
Digital cellular telecommunications system (Phase 2+); Universal Mobile Telecommunications System (UMTS); LTE; Circuit Switched (CS) fallback in Evolved Packet System (EPS); Stage 2 (3GPP TS 23.272 version 8.11.0 Release 8) Circuit Switched (CS) fallback in Evolved Packet System (EPS); Stage 2,TS 23.272 v8.11.0,"4G, 3G, 2G",2012-03-20,ETSI,Maurice Pope | Sabine Demel,,8.11.0,https://www.etsi.org/deliver/etsi_ts/123200_123299/123272/08.11.00_60/ts_123272v081100p.pdf
Digital cellular telecommunications system (Phase 2+); Universal Mobile Telecommunications System (UMTS); LTE; Circuit Switched (CS) fallback in Evolved Packet System (EPS); Stage 2 (3GPP TS 23.272 version 8.10.0 Release 8) Circuit Switched (CS) fallback in Evolved Packet System (EPS); Stage 2,TS 23.272 v8.10.0,"4G, 3G, 2G",2011-01-11,ETSI,Maurice Pope | Sabine Demel,3GPP 3GPP-Release-8 3GPP-SA,8.10.0,https://www.etsi.org/deliver/etsi_ts/123200_123299/123272/08.10.00_60/ts_123272v081000p.pdf
